TIME                     OPNAM  # OPS/SEC p50(ms) p95(ms) p99(ms)    pMax
2020-10-01T00:52:15.667Z write  3   227.1     6.0    11.0    21.0   570.4
2020-10-01T00:53:15.663Z write  3   239.4     5.8    10.0    16.3   637.5
2020-10-01T00:54:15.659Z write  3   234.3     5.8    10.5    17.8   604.0
2020-10-01T00:55:15.656Z write  3   231.5     5.8    11.0    21.0   604.0
2020-10-01T00:56:15.653Z write  3   242.2     5.8    10.0    15.7   201.3
2020-10-01T00:57:15.650Z write  3   230.1     5.8    10.5    18.9   520.1
2020-10-01T00:58:15.647Z write  3   196.9     6.6    13.6    24.1   637.5
2020-10-01T00:59:15.643Z write  3   248.0     5.8    10.0    14.7    56.6
2020-10-01T01:00:15.639Z write  3   216.4     6.0    11.5    21.0   570.4
2020-10-01T01:01:15.637Z write  3   217.7     6.0    11.5    22.0   771.8
2020-10-01T01:02:15.633Z write  3   252.2     5.8     9.4    14.7    50.3
2020-10-01T01:03:15.630Z write  3   224.2     5.8    11.0    22.0   604.0
2020-10-01T01:04:15.626Z write  3   228.2     5.8    11.0    19.9   469.8
2020-10-01T01:05:15.622Z write  3   247.9     5.8     9.4    14.2    58.7
2020-10-01T01:06:15.619Z write  3   229.6     5.8    11.0    21.0   604.0
2020-10-01T01:07:15.616Z write  3   221.6     5.8    11.0    19.9   738.2
2020-10-01T01:08:15.612Z write  3   178.5     6.0    14.7    31.5  6710.9
2020-10-01T01:09:15.609Z write  3   159.4     6.0    15.7    46.1  6442.5
2020-10-01T01:10:15.606Z write  3   163.6     6.0    15.7    29.4  6979.3
2020-10-01T01:11:15.603Z write  3   221.4     6.3    12.1    19.9   453.0
2020-10-01T01:12:15.599Z write  3   256.9     5.8    10.0    16.3    83.9
2020-10-01T01:13:15.596Z write  3   233.4     6.0    11.0    19.9   671.1
2020-10-01T01:14:15.592Z write  3   236.6     5.8    11.0    21.0   570.4
2020-10-01T01:15:15.589Z write  3   256.2     5.5    10.0    15.7   117.4
2020-10-01T01:16:15.586Z write  3   249.6     5.5    10.0    18.9   285.2
2020-10-01T01:17:15.582Z write  3   237.6     5.8    10.5    18.9   604.0
2020-10-01T01:18:15.579Z write  3   246.9     5.8    10.0    17.8   637.5
2020-10-01T01:19:15.575Z write  3   253.3     5.5     9.4    15.7   604.0
2020-10-01T01:20:15.572Z write  3   238.6     5.8    11.0    21.0   671.1
2020-10-01T01:21:15.569Z write  3   243.4     5.5    10.5    18.9   637.5
2020-10-01T01:22:15.565Z write  3   258.8     5.5     9.4    15.2    48.2
2020-10-01T01:23:15.562Z write  3   240.4     5.8    11.0    22.0   469.8
2020-10-01T01:24:15.559Z write  3   240.9     5.8    10.5    19.9   671.1
2020-10-01T01:25:15.555Z write  3   256.4     5.5    10.0    15.2    41.9
2020-10-01T01:26:15.552Z write  3   214.3     6.0    13.6    26.2   570.4
2020-10-01T01:27:15.550Z write  3   242.4     5.5    10.5    18.9   637.5
2020-10-01T01:28:15.546Z write  3   259.4     5.5     9.4    14.2    52.4
2020-10-01T01:29:15.542Z write  3   238.2     5.8    10.5    18.9   604.0
2020-10-01T01:30:15.539Z write  3   232.7     5.8    10.5    19.9   771.8
2020-10-01T01:31:15.535Z write  3   254.0     5.5    10.0    16.3    58.7
2020-10-01T01:32:15.532Z write  3   223.0     6.0    11.5    21.0   637.5
2020-10-01T01:33:15.528Z write  3   232.3     5.8    11.0    22.0   637.5
2020-10-01T01:34:15.525Z write  3   257.0     5.5     9.4    14.7    75.5
2020-10-01T01:35:15.522Z write  3   248.3     5.5    10.0    16.8   671.1
2020-10-01T01:36:15.519Z write  3   237.6     5.8    10.5    18.9   486.5
2020-10-01T01:37:15.515Z write  3   246.1     5.8    10.0    15.7   604.0
2020-10-01T01:38:15.512Z write  3   253.5     5.5    10.0    16.8   570.4
2020-10-01T01:39:15.509Z write  3   239.0     5.8    10.5    19.9   604.0
2020-10-01T01:40:15.506Z write  3   228.4     6.0    11.0    18.9   570.4
2020-10-01T01:41:15.502Z write  3   255.1     5.5     9.4    14.7   604.0
2020-10-01T01:42:15.498Z write  3   237.5     5.8    10.5    17.8   637.5
2020-10-01T01:43:15.495Z write  3   218.4     6.0    12.1    21.0   604.0
2020-10-01T01:44:15.491Z write  3   247.7     5.5    10.0    16.3   520.1
2020-10-01T01:45:15.488Z write  3   231.3     5.8    11.0    21.0   604.0
2020-10-01T01:46:15.485Z write  3   243.4     5.8    10.5    18.9   570.4
2020-10-01T01:47:15.481Z write  3   258.9     5.5     9.4    14.7    56.6
2020-10-01T01:48:15.478Z write  3   236.2     5.8    10.5    19.9   604.0
2020-10-01T01:49:15.474Z write  3   237.2     5.8    11.0    21.0   570.4
2020-10-01T01:50:15.471Z write  3   259.1     5.5     9.4    14.2    54.5
2020-10-01T01:51:15.468Z write  3   241.5     5.8    10.5    19.9   604.0
2020-10-01T01:52:15.466Z write  3   244.9     5.8    10.5    19.9   260.0
2020-10-01T01:53:15.461Z write  3   252.9     5.5     9.4    15.2    48.2
2020-10-01T01:54:15.458Z write  3   240.6     5.8    10.5    17.8   637.5
2020-10-01T01:55:15.455Z write  3   242.1     5.8    10.5    21.0   637.5
2020-10-01T01:56:15.451Z write  3   248.1     5.8    10.0    16.3   604.0
2020-10-01T01:57:15.447Z write  3   242.9     5.8    10.5    16.8   184.5
2020-10-01T01:58:15.444Z write  3   229.7     5.8    11.0    22.0   570.4
2020-10-01T01:59:15.441Z write  3   242.1     5.8    10.5    17.8   604.0
2020-10-01T02:00:15.437Z write  3   248.5     5.8    10.0    16.8   604.0
2020-10-01T02:01:15.434Z write  3   235.2     5.8    10.5    22.0   604.0
2020-10-01T02:02:15.431Z write  3   246.5     5.8    10.0    16.8   335.5
2020-10-01T02:03:15.427Z write  3   252.3     5.5     9.4    15.7   335.5
2020-10-01T02:04:15.424Z write  3   232.2     5.8    11.0    22.0   536.9
2020-10-01T02:05:15.421Z write  3   235.9     5.8    10.5    19.9   536.9
2020-10-01T02:06:15.417Z write  3   251.5     5.5     9.4    15.7    56.6
2020-10-01T02:07:15.414Z write  3   230.0     5.8    11.0    23.1   637.5
2020-10-01T02:08:15.410Z write  3   183.6     5.8    11.5    21.0  6979.3
2020-10-01T02:09:15.407Z write  3   134.8     6.3    14.7    56.6  8589.9
2020-10-01T02:10:15.404Z write  3   224.4     6.0    11.0    18.9   302.0
2020-10-01T02:11:15.400Z write  3   250.5     5.5    10.0    15.7   536.9
2020-10-01T02:12:15.397Z write  3   219.2     6.0    12.1    23.1   637.5
2020-10-01T02:13:15.394Z write  3   243.5     5.8    10.5    18.9   671.1
2020-10-01T02:14:15.390Z write  3   252.7     5.5    10.0    16.3   436.2
2020-10-01T02:15:15.387Z write  3   233.4     5.8    11.0    19.9   637.5
2020-10-01T02:16:15.383Z write  3   238.2     5.8    10.5    18.9   637.5
2020-10-01T02:17:15.380Z write  3   253.8     5.5     9.4    15.2   637.5
2020-10-01T02:18:15.376Z write  3   235.4     5.8    11.0    22.0   503.3
2020-10-01T02:19:15.374Z write  3   234.5     5.8    10.5    19.9   637.5
2020-10-01T02:20:15.370Z write  3   257.1     5.5     9.4    14.7    50.3
2020-10-01T02:21:15.366Z write  3   232.9     5.8    11.0    18.9   771.8
2020-10-01T02:22:15.363Z write  3   228.5     6.0    11.0    21.0   637.5
2020-10-01T02:23:15.360Z write  3   256.0     5.5     9.4    14.7   243.3
